SpriteFile ObjectType posX posY endPosX endPosY scaleX scaleY
Dirt.png wall -1.0 1.0 -1.0 -1.0 0.07 0.1246
Door.png door -0.93 0.869 -0.93 0.869 0.07 0.1246
Grass.png wall -0.93 0.6198 -0.93 0.6198 0.07 0.1246
Spike_Up.png hazard -0.93 -1.0 -0.23 -1.0 0.07 0.1246
Grass.png wall -0.79 0.1214 -0.79 0.1214 0.07 0.1246
Spike_Down.png hazard -0.79 -.01278 -0.79 -.01278 0.07 0.1246
Dirt.png wall -0.65 1.0 -0.65 -0.377 0.07 0.1246
Dirt.png wall -0.51 1.0 -0.51 0.3706 0.07 0.1246
Spike_Down.png hazard -0.51 0.1214 -0.51 0.1214 0.07 0.1246
Dirt.png wall -0.37 1.0 -0.37 0.6198 0.07 0.1246
Dirt.png wall -0.23 1.0 -0.23 0.869 0.07 0.1246
Grass.png wall -0.23 0.1214 -0.09 0.1214 0.07 0.1246
Dirt.png wall -0.23 -0.1278 0.12 -0.1278 0.07 0.1246
Dirt.png wall -0.09 -0.377 -0.09 -1.0 0.07 0.1246
Grass.png wall 0.05 0.3706 0.19 0.3706 0.07 0.1246
Dirt.png wall 0.05 0.1214 0.19 0.1214 0.07 0.1246
Sprike_Down.png hazard 0.05 -0.377 0.12 -0.377 0.07 0.1246
Spike_Up.png hazard 0.12 0.6198 0.12 0.6198 0.07 0.1246
Ball.png actor 0.12 -0.8754 0.12 -0.8754 0.07 0.1246
Grass.png wall 0.12 -1.0 0.12 -1.0 0.07 0.1246
Sprike_Down.png hazard 0.19 -0.1278 0.19 -0.1278 0.07 0.1246
Spike_Up.png hazard 0.19 -1.0 0.19 -1.0 0.07 0.1246
Spike_Right.png hazard 0.33 0.3706 0.33 0.1214 0.07 0.1246
Grass.png wall 0.33 -0.8754 0.33 -0.8754 0.07 0.1246
Dirt.png wall 0.33 -1.0 1.0 -1.0 0.07 0.1246
Dirt.png wall 0.47 -0.377 0.47 -0.377 0.07 0.1246
Spike_Up.png hazard 0.47 -0.8754 1.0 -0.8754 0.07 0.1246
Grass.png wall 0.61 0.869 0.61 0.869 0.07 0.1246
Spike_Down.png hazard 0.61 0.6198 0.61 0.6198 0.07 0.1246
Dirt.png wall 0.61 -0.1278 0.75 -0.1278 0.07 0.1246
Grass.png wall 0.75 0.6198 0.75 0.6198 0.07 0.1246
Dirt.png wall 0.75 0.3706 0.75 0.1214 0.07 0.1246
Dirt.png wall 1.0 1.0 1.0 -0.8754 0.07 0.1246

